UNIX time mavlink, time since system boot mavlink, lat, lon, alt, relative_alt, vx, vy, vz, hdg
1632132583231840,2464743,380010,2464743,0,0,0,0,0,0
1632132586244948,2467756,380010,2467756,0,0,0,0,0,0
1632132589236729,2470748,380010,2470748,0,0,0,0,0,0
1632132591731954,2473243,380010,2473243,0,0,0,0,0,0
1632132593232856,2474744,380010,2474744,0,0,0,0,0,0
1632132594732872,2476244,380010,2476244,0,0,0,0,0,0
1632132596231960,2477743,380010,2477743,0,0,0,0,0,0
1632132597735910,2479247,380010,2479247,0,0,0,0,0,0
1632132599231682,2480743,380010,2480743,0,0,0,0,0,0
1632132600732739,2482244,380010,2482244,0,0,0,0,0,0
1632132602231798,2483743,380010,2483743,0,0,0,0,0,0
1632132603736042,2485248,380010,2485248,0,0,0,0,0,0
1632132605237169,2486749,380010,2486749,0,0,0,0,0,0
1632132606733934,2488245,380010,2488245,0,0,0,0,0,0
1632132608235016,2489747,380010,2489747,0,0,0,0,0,0
1632132609735542,2491247,380010,2491247,0,0,0,0,0,0
1632132611233827,2492745,380010,2492745,0,0,0,0,0,0
1632132612733985,2494246,380010,2494246,0,0,0,0,0,0
1632132614234020,2495746,380010,2495746,0,0,0,0,0,0
1632132615735578,2497247,380010,2497247,0,0,0,0,0,0
1632132617233799,2498745,380010,2498745,0,0,0,0,0,0
1632132618733650,2500245,380010,2500245,0,0,0,0,0,0
1632132620235860,2501747,380010,2501747,0,0,0,0,0,0
1632132621735875,2503247,380010,2503247,0,0,0,0,0,0
1632132623235958,2504747,380010,2504747,0,0,0,0,0,0
1632132624736052,2506248,380010,2506248,0,0,0,0,0,0
1632132626240010,2507752,380010,2507752,0,0,0,0,0,0
