time_elapsed,pm25 [ug]/m3,pm10 [ug]/m3,WE_NO2  [mV] ,AE_NO2  [mV] ,WE_CO  [mV] ,AE_CO [mV],data,ora
1.4781951904296875e-05,17.1,21.6,296.75,308.1875,338.90625,269.59375,24/09/2021,16:54:24
5.582042217254639,17.1,21.7,296.84375,300.90625,338.4375,269.53125,24/09/2021,16:54:30
9.043108463287354,17.1,22.7,297.3125,303.9375,322.53125,230.375,24/09/2021,16:54:33
12.019703388214111,17.2,21.7,298.03125,303.8125,336.75,258.28125,24/09/2021,16:54:36
15.202857255935669,17.2,21.9,297.78125,306.0625,341.0,263.90625,24/09/2021,16:54:40
18.529546976089478,17.1,21.5,296.875,306.53125,336.3125,254.0,24/09/2021,16:54:44
22.546746015548706,16.9,21.5,296.28125,299.6875,336.375,257.78125,24/09/2021,16:54:47
25.98894953727722,16.9,21.4,295.9375,308.0625,339.46875,266.5,24/09/2021,16:54:50
29.0305392742157,16.9,21.4,294.71875,306.21875,338.1875,265.1875,24/09/2021,16:54:54
33.00878715515137,16.8,22.0,296.53125,306.6875,338.8125,267.4375,24/09/2021,16:54:57
36.9017858505249,16.7,22.6,297.71875,305.59375,344.09375,267.28125,24/09/2021,16:55:01
40.0212824344635,16.8,22.6,295.875,305.5,337.90625,260.75,24/09/2021,16:55:04
43.13456344604492,16.8,23.4,296.0,302.9375,340.5625,265.34375,24/09/2021,16:55:08
46.439886808395386,16.8,23.3,296.46875,307.3125,335.3125,254.40625,24/09/2021,16:55:11
49.489449977874756,16.9,22.8,294.8125,305.03125,339.28125,264.28125,24/09/2021,16:55:14
52.51949143409729,16.9,22.8,296.25,300.9375,322.40625,227.0,24/09/2021,16:55:17
56.03370499610901,16.9,22.8,295.4375,308.03125,336.09375,255.8125,24/09/2021,16:55:20
58.9566535949707,16.7,21.9,297.28125,306.8125,337.53125,265.125,24/09/2021,16:55:23
62.03164720535278,16.7,22.3,294.8125,308.65625,338.5625,267.65625,24/09/2021,16:55:26
64.95883631706238,16.6,22.5,295.03125,304.5625,337.59375,264.6875,24/09/2021,16:55:29
67.99018025398254,16.8,23.2,298.0,308.34375,336.6875,265.53125,24/09/2021,16:55:32
71.02305746078491,16.7,22.2,294.9375,302.75,339.8125,267.8125,24/09/2021,16:55:35
73.98044538497925,16.8,22.5,292.8125,303.28125,336.375,264.125,24/09/2021,16:55:38
77.05856442451477,16.9,21.8,295.21875,303.0,338.71875,265.09375,24/09/2021,16:55:42
80.58557152748108,16.9,21.8,296.0,308.28125,336.0625,262.8125,24/09/2021,16:55:45
84.13414931297302,17.1,22.1,292.6875,308.03125,324.46875,232.3125,24/09/2021,16:55:49
87.72366547584534,16.9,21.4,296.3125,306.21875,327.65625,249.78125,24/09/2021,16:55:52
91.71030330657959,17.0,21.8,295.75,303.84375,332.53125,261.3125,24/09/2021,16:55:56
94.97671341896057,17.2,21.7,297.125,308.25,334.09375,261.59375,24/09/2021,16:55:59
98.01203751564026,17.3,21.8,295.40625,301.59375,335.40625,263.125,24/09/2021,16:56:03
102.09983491897583,17.4,21.7,296.78125,308.25,333.78125,261.8125,24/09/2021,16:56:07
105.50885581970215,17.5,21.9,295.53125,303.78125,335.40625,264.375,24/09/2021,16:56:10
108.48701763153076,17.5,21.4,296.625,308.0625,330.59375,249.0,24/09/2021,16:56:13
111.52297163009644,17.4,21.3,295.78125,302.21875,337.25,270.8125,24/09/2021,16:56:16
115.00844597816467,17.4,21.3,296.78125,302.125,333.90625,261.875,24/09/2021,16:56:20
118.55700969696045,17.5,21.4,295.84375,303.4375,340.0625,272.09375,24/09/2021,16:56:23
122.0767240524292,17.7,21.5,296.90625,303.125,337.5625,268.25,24/09/2021,16:56:27
125.51112031936646,17.8,21.6,297.46875,308.125,339.65625,267.75,24/09/2021,16:56:30
128.5029833316803,17.8,21.8,296.40625,309.25,332.78125,256.875,24/09/2021,16:56:33
131.54432344436646,17.9,22.6,296.9375,304.75,340.71875,273.90625,24/09/2021,16:56:36
135.02003574371338,17.9,21.9,297.75,303.28125,341.5,271.59375,24/09/2021,16:56:40
138.57023668289185,17.9,21.5,295.40625,301.71875,326.71875,250.78125,24/09/2021,16:56:43
142.0768051147461,17.9,20.7,295.40625,304.9375,336.21875,268.1875,24/09/2021,16:56:47
145.5332338809967,18.0,21.1,296.0625,304.34375,340.4375,270.40625,24/09/2021,16:56:50
149.19995832443237,18.1,21.3,294.28125,305.03125,329.75,253.28125,24/09/2021,16:56:54
152.56911492347717,18.0,21.2,297.28125,304.0625,330.4375,254.4375,24/09/2021,16:56:58
156.5690701007843,18.1,21.4,294.875,306.59375,328.25,259.53125,24/09/2021,16:57:01
160.119637966156,18.2,21.6,295.3125,304.1875,336.03125,269.34375,24/09/2021,16:57:05
163.60981512069702,18.1,21.0,296.40625,305.46875,336.03125,269.28125,24/09/2021,16:57:08
167.12339544296265,18.3,21.2,297.875,303.25,333.78125,263.21875,24/09/2021,16:57:12
170.60059309005737,18.2,20.5,298.375,303.34375,337.09375,270.09375,24/09/2021,16:57:15
174.05633974075317,18.1,20.7,304.8125,303.65625,337.4375,271.53125,24/09/2021,16:57:19
177.63056635856628,18.1,20.7,297.21875,302.84375,333.65625,265.59375,24/09/2021,16:57:22
181.1169421672821,17.9,20.5,295.09375,303.21875,327.1875,250.625,24/09/2021,16:57:26
184.51216077804565,18.0,20.8,294.375,302.3125,333.1875,266.0,24/09/2021,16:57:29
187.622243642807,17.8,20.6,295.8125,302.59375,331.125,263.9375,24/09/2021,16:57:33
191.57273983955383,17.8,21.2,293.71875,302.125,333.78125,266.90625,24/09/2021,16:57:36
195.06915950775146,17.7,21.0,295.34375,305.75,334.84375,265.0625,24/09/2021,16:57:40
198.62023401260376,17.7,20.9,295.15625,303.59375,333.375,263.1875,24/09/2021,16:57:43
202.16285228729248,17.6,20.6,295.59375,302.75,335.625,266.46875,24/09/2021,16:57:47
205.58689904212952,17.6,20.6,296.4375,301.65625,336.34375,266.3125,24/09/2021,16:57:50
209.05698919296265,17.5,20.5,295.40625,305.28125,330.96875,259.25,24/09/2021,16:57:54
212.6160774230957,17.6,20.3,299.0,302.28125,333.8125,267.0625,24/09/2021,16:57:57
216.0554530620575,17.7,20.3,296.84375,304.25,334.15625,269.21875,24/09/2021,16:58:01
219.68662190437317,17.7,20.2,296.78125,301.875,332.09375,264.625,24/09/2021,16:58:04
223.15103912353516,17.7,20.2,297.90625,305.15625,332.25,263.96875,24/09/2021,16:58:08
226.63162970542908,17.7,20.2,297.53125,303.53125,334.15625,263.25,24/09/2021,16:58:11
230.1911153793335,17.6,20.3,298.125,302.59375,326.8125,246.25,24/09/2021,16:58:15
233.62058544158936,17.6,20.6,299.8125,299.125,336.03125,269.96875,24/09/2021,16:58:18
237.09339785575867,17.6,19.7,299.1875,302.28125,335.1875,262.9375,24/09/2021,16:58:22
240.5930688381195,17.5,19.7,295.3125,305.65625,334.28125,268.59375,24/09/2021,16:58:25
244.1036298274994,17.5,20.3,296.125,302.78125,336.25,268.8125,24/09/2021,16:58:29
247.57403111457825,17.5,21.3,295.3125,303.21875,333.09375,268.28125,24/09/2021,16:58:32
251.1671679019928,17.4,21.1,296.71875,305.5625,330.46875,262.03125,24/09/2021,16:58:36
254.6120948791504,17.5,21.0,295.09375,306.875,332.9375,265.65625,24/09/2021,16:58:39
258.08441257476807,17.4,21.1,294.15625,305.1875,334.75,244.5625,24/09/2021,16:58:43
261.57728362083435,17.4,22.3,295.53125,302.71875,331.46875,263.96875,24/09/2021,16:58:46
265.09392738342285,17.4,23.5,295.25,307.75,322.03125,249.03125,24/09/2021,16:58:50
268.57502269744873,17.5,23.7,293.75,305.78125,328.875,261.8125,24/09/2021,16:58:53
272.143737077713,17.3,24.3,294.21875,302.6875,327.03125,258.09375,24/09/2021,16:58:57
275.5044934749603,17.1,23.9,295.6875,305.21875,328.78125,263.5,24/09/2021,16:59:00
279.11852169036865,17.2,23.8,295.46875,305.46875,331.375,264.53125,24/09/2021,16:59:04
282.4473569393158,17.2,23.8,295.84375,306.78125,329.1875,263.34375,24/09/2021,16:59:07
285.38997745513916,17.2,23.6,295.40625,303.5,329.28125,264.09375,24/09/2021,16:59:10
288.4383318424225,17.3,23.5,294.90625,302.375,325.09375,255.03125,24/09/2021,16:59:13
291.5208089351654,17.4,23.7,296.9375,305.15625,331.625,263.90625,24/09/2021,16:59:16
