UNIX time mavlink, time since system boot mavlink, lat, lon, alt, relative_alt, vx, vy, vz, hdg
1634917603874524,9557234,454110125,118926913,49190,-4474,0,-1,0,35940
1634917609374161,9562734,454109840,118926985,49190,-4477,0,-1,0,35938
1634917613379043,9566739,454110072,118927018,49210,-4457,0,-1,0,35938
1634917616879279,9570239,454110226,118926979,49190,-4477,0,-1,0,35933
1634917620374032,9573734,454110237,118926892,49200,-4463,1,-1,0,35935
1634917624373293,9577733,454110173,118926827,49160,-4502,1,-1,1,35934
1634917627874852,9581234,454110166,118926762,49160,-4502,1,0,1,35933
1634917631875101,9585235,454109980,118926770,49150,-4517,0,-1,1,35932
1634917635374982,9588734,454110132,118926814,49130,-4539,0,-1,1,35931
1634917639376018,9592735,454110316,118926762,49100,-4566,0,0,2,35929
1634917643378289,9596738,454110638,118926743,49090,-4578,0,0,1,35927
