time_elapsed,pm25 [ug]/m3,pm10 [ug]/m3,WE_NO2  [mV] ,AE_NO2  [mV] ,WE_CO  [mV] ,AE_CO [mV],data,ora,unix time
8.821487426757812e-06,8.2,8.9,299.6875,306.03125,351.625,270.625,22/10/2021,17:46:43,1634917603.332229
5.78411340713501,8.1,8.8,300.21875,304.4375,347.09375,258.84375,22/10/2021,17:46:49,1634917609.1163335
9.44974398612976,8.0,8.7,301.4375,304.625,348.9375,267.4375,22/10/2021,17:46:52,1634917612.781964
13.26145052909851,7.9,8.6,301.53125,316.0625,355.15625,277.34375,22/10/2021,17:46:56,1634917616.5936706
16.90241050720215,7.9,8.6,300.125,305.0625,353.03125,271.8125,22/10/2021,17:47:00,1634917620.2346306
20.465081930160522,7.9,8.6,299.96875,301.46875,349.21875,271.1875,22/10/2021,17:47:03,1634917623.797302
24.31871795654297,7.9,8.6,299.71875,305.75,351.84375,270.25,22/10/2021,17:47:07,1634917627.650938
28.01234793663025,7.9,8.6,300.53125,304.75,350.09375,264.625,22/10/2021,17:47:11,1634917631.344568
31.917442083358765,7.9,8.6,300.0,311.53125,347.125,261.875,22/10/2021,17:47:15,1634917635.2496622
35.884422063827515,7.9,8.6,300.59375,308.59375,351.375,263.4375,22/10/2021,17:47:19,1634917639.2166421
39.66515588760376,7.9,8.6,300.3125,309.0625,321.5625,156.71875,22/10/2021,17:47:22,1634917642.997376
