time_elapsed,pm25 [ug]/m3,pm10 [ug]/m3,WE_NO2  [mV] ,AE_NO2  [mV] ,WE_CO  [mV] ,AE_CO [mV],data,ora
9.5367431640625e-06,1.0,1.7,297.21875,305.90625,308.59375,263.84375,20/09/2021,12:09:44
2.6145663261413574,0.9,1.6,296.65625,304.375,313.90625,277.03125,20/09/2021,12:09:47
5.73068904876709,0.9,1.5,295.875,304.3125,314.3125,277.75,20/09/2021,12:09:50
8.67318606376648,1.0,1.6,297.3125,304.75,311.46875,275.65625,20/09/2021,12:09:52
10.177523851394653,0.9,1.5,295.625,304.46875,310.78125,271.40625,20/09/2021,12:09:53
11.647794961929321,0.9,1.5,297.375,303.96875,311.84375,276.4375,20/09/2021,12:09:55
13.278246641159058,0.9,1.4,297.25,303.3125,297.09375,242.15625,20/09/2021,12:09:56
14.653546571731567,0.9,1.3,296.5,302.1875,311.0,274.71875,20/09/2021,12:09:57
16.131373405456543,0.9,1.3,296.40625,303.34375,302.8125,249.15625,20/09/2021,12:09:59
17.649736881256104,0.9,1.3,296.8125,310.34375,307.53125,265.875,20/09/2021,12:10:00
19.1328866481781,0.9,1.2,298.0,312.25,306.78125,249.21875,20/09/2021,12:10:02
20.653932094573975,0.8,1.2,297.34375,306.9375,311.875,273.75,20/09/2021,12:10:03
22.141172647476196,0.8,1.2,297.03125,300.125,310.78125,269.0,20/09/2021,12:10:05
23.655096292495728,0.8,1.1,295.53125,303.96875,312.9375,271.71875,20/09/2021,12:10:06
25.138198614120483,0.9,1.1,296.28125,308.4375,312.3125,272.96875,20/09/2021,12:10:08
26.657287120819092,0.9,1.2,295.21875,308.6875,310.53125,267.84375,20/09/2021,12:10:09
28.133484840393066,0.9,1.3,296.75,304.40625,308.4375,268.375,20/09/2021,12:10:11
29.656272172927856,0.9,1.3,297.03125,305.9375,313.125,273.9375,20/09/2021,12:10:12
31.13292098045349,0.9,1.4,297.34375,307.5,310.5625,276.0625,20/09/2021,12:10:14
32.64365100860596,1.0,1.4,297.5,305.75,310.5,273.15625,20/09/2021,12:10:15
34.145267486572266,0.9,2.0,297.0625,302.875,312.375,274.21875,20/09/2021,12:10:17
35.650782108306885,0.9,2.0,296.96875,306.59375,310.21875,266.09375,20/09/2021,12:10:18
37.13256525993347,0.9,2.0,296.65625,307.03125,301.5625,258.375,20/09/2021,12:10:20
38.651493549346924,0.9,2.1,295.625,307.71875,304.875,262.96875,20/09/2021,12:10:21
40.13270282745361,0.9,2.0,296.21875,303.9375,309.125,268.21875,20/09/2021,12:10:23
41.650596380233765,0.9,1.5,296.9375,307.40625,310.0625,273.0,20/09/2021,12:10:24
43.13425374031067,0.9,1.5,296.78125,308.15625,309.53125,270.9375,20/09/2021,12:10:26
